item,Open,Close,Volume
228,6.688,6.738,5517000
229,6.726,6.764,7101500
230,6.778,6.924,10428500
231,6.816,6.78,6316500
232,6.764,6.742,3307500
233,6.764,6.78,3302000
234,6.86,6.834,3322000
235,6.886,6.914,4649000
236,6.92,7.056,7863000
237,7.042,7.052,10319000
238,7.052,6.722,10756500
239,6.756,6.762,5115000
240,6.754,6.88,4124500
241,6.852,6.918,7769500
242,6.95,6.922,6494000
243,6.902,6.886,4606000
244,6.788,6.8,7462000
245,6.728,6.856,1879000
246,6.792,6.718,3007000
247,6.7,6.738,2805500
248,6.676,6.644,2070500
249,6.6,6.774,2974500
250,7,7.072,5974000
251,7.036,6.954,3710000
252,6.96,6.88,3370000
253,6.96,6.868,2210000
254,6.9,6.736,6420000
255,6.802,6.728,3490000
256,6.774,6.706,4612500
257,6.808,6.582,7816000
258,6.616,6.652,4625500
259,6.622,6.78,8121000
260,6.77,6.82,6891000
261,6.832,6.876,7183500
262,6.948,6.904,17775500
263,6.912,7.038,9601000
264,7.004,7.2,7821500
265,7.2,7.398,9852000
266,7.4,7.396,6439000
267,7.372,7.606,9930000
268,7.62,7.59,7133000
269,7.57,7.504,4840500
270,7.574,7.502,4507000
271,7.634,7.66,5503000
272,7.68,7.548,5640000
273,7.6,7.626,6551000
274,7.636,7.834,9466000
275,7.838,7.896,5983000
276,7.89,7.848,5699000
277,7.596,7.684,16331500
278,7.69,7.578,11306500
279,7.66,7.69,4834000
280,7.728,7.654,4953500
281,7.7,7.408,10088000
282,7.472,7.856,13507000
283,7.86,7.708,15610000
284,7.298,7.032,45189000
285,7.144,7.222,12736500
286,7.23,6.876,14447000
287,6.892,6.886,13814500
288,6.882,7.02,9796000
289,7.178,6.966,9824500
290,7,6.93,7733000
291,6.954,7.116,8788500
292,7.2,7.33,10435000
293,7.402,7.538,5750000
294,7.546,7.646,5791500
295,7.612,7.694,4560500
296,7.774,7.82,7897500
297,7.78,7.824,6375500
298,7.8,7.796,4110000
299,7.78,7.37,10105000
300,7.328,7.058,16398000
301,7.06,7.03,6580500
302,7.05,7.016,5492500
303,7.052,7.19,7115000
304,7.19,7.202,5731500
305,7.24,7.324,2201000
306,7.42,7.506,11894000
307,7.596,7.572,9041000
308,7.588,7.632,6481500
309,7.646,7.578,5793500
310,8.472,8.786,70492500
311,8.72,8.868,33262000
312,8.62,8.22,28218000
313,8.222,8.402,11324000
314,8.4,8.274,7762000
315,8.394,8.366,8395000
316,8.36,8.1,8480500
317,8.14,8.372,10605500
318,8.412,8.718,17237000
319,8.65,8.75,15747000
320,8.7,8.66,8407000
321,8.838,9.118,15902000
322,9.1,9.09,10592500
323,9.196,9.394,16839500
324,9.492,9.566,15058500
325,9.72,10.038,19697000
326,10.2,10.202,18669000
327,10.18,10.086,13150000
328,10.1,10.4,13979500
329,10.626,10.24,18110500
330,10.352,10.988,18198500
331,11.2,10.798,27613000
332,11.198,10.656,13714000
333,10.77,10.822,15252000
334,11.294,10.91,16893500
335,11.278,11.9,21833500
336,12.4,11.102,49955000
337,11.5,11.158,33849500
338,14.024,13.88,143025000
339,13.93,15.352,125413000
340,16.198,17.559999,112084500
341,18.844,16.648001,185819500
342,16.360001,16.968,84393500
343,18.940001,18.450001,108070000
344,18.5,18.299999,95011000
345,18.224001,17.988001,41742000
346,17.700001,17.518,44991000
347,17.274,17.448,42840000
348,16.962,18.546,60111000
349,18.52,19.416,80621000
350,20.309999,22.066,98459500
351,22.709999,20.926001,125497500
352,20.492001,20.99,80668500
353,21.252001,19.552,75860000
354,19.524,18.518,95698000
355,18.549999,18.968,44280500
356,18.732,19.073999,61124000
357,19.049999,19.469999,47554500
358,19.6,20.408001,53558000
359,19.785999,20.01,46143000
360,19.636,18.893999,36970000
361,19.360001,19.546,45963500
362,19.799999,19.636,29808000
363,20,20.059999,32823500
364,20.719999,20.440001,35331000
365,20.35,20.677999,43976500
366,20.412001,20.936001,42894500
367,20.93,20.129999,50532500
368,20.74,19.91,58593000
369,19.299999,20.298,35599000
370,20.620001,20.48,29243500
371,20.76,21.143999,33013000
372,21.35,21.85,43724500
373,21.714001,21.472,28743000
374,21.872,23.436001,54518000
375,23.65,23.563999,60320500
376,23.6,23.048,24033500
377,23.664,24.018,34093500
378,24.274,24.322001,39071000
379,24.927999,24.690001,43016500
380,24.638,24.454,28000500
381,24.976,25.122,37418000
382,25.1,25.98,56720000
383,26.606001,25.452,49612000
384,25.256001,21.809999,161859500
385,21.304001,24.049999,130145000
386,24.194,23.806,56990500
387,23.700001,23.936001,29451500
388,23.978001,24.486,48989000
389,24.799999,24.548,38682000
390,24.893999,24.34,34345000
391,24.08,24.813999,26421500
392,25.628,25.878,48165500
393,25.864,26.924,48394500
394,26.959999,26.348,65635000
395,26.514,26.856001,31758500
396,27,27.110001,26618000
397,26.917999,27.6,31349500
398,28.002001,28.936001,51003500
399,28.950001,28.43,46272500
400,28.378,26.846001,91061000
401,30.870001,30.695999,136234000
402,30.48,30.6,44638500
403,29.886,29.476,74561000
404,29.9,29.086,43744500
405,28.544001,27.872,58469000
406,27.285999,27.934,50896000
407,28.326,28.4,35540500
408,28.686001,28.98,40188500
409,29.73,29.916,32091000
410,30,29.572001,31331500
411,29.844,31.42,52962000
412,31.4,32.368,64659500
413,33.029999,32.844002,120855500
414,32.459999,33.402,87834500
415,33.812,33.290001,73700500
416,32.844002,33.212002,47180000
417,33.273998,33.799999,55142000
